sector,events,1d_win,1d_med,1d_n,5d_win,5d_med,5d_n,10d_win,10d_med,10d_n,21d_win,21d_med,21d_n,126d_win,126d_med,126d_n,252d_win,252d_med,252d_n
Aerospace & Defense,32,0.4375,-0.013343336577487042,32,0.40625,-0.011490683674507784,32,0.5,-0.004478922350470371,32,0.46875,-0.031208387654947323,32,0.6875,0.09277021193254198,32,0.8064516129032258,0.2968562604845173,31
Automobiles,53,0.4716981132075472,-0.003127496148300435,53,0.5660377358490566,0.01205805080486333,53,0.660377358490566,0.06273972457936816,53,0.660377358490566,0.07356946237473361,53,0.7735849056603774,0.364906374370471,53,0.8113207547169812,0.5846579569903423,53
Banking,96,0.4479166666666667,-0.004625885200231938,96,0.5104166666666666,0.0010521665988856288,96,0.5,0.0039864433242231545,96,0.4583333333333333,-0.031068180883436436,96,0.5729166666666666,0.0803914146445418,96,0.71875,0.36480635114721116,96
Beverages,5,0.2,-0.05324170773438741,5,0.4,-0.01692766707159643,5,0.2,-0.054844774887372716,5,0.8,0.05912420450054223,5,0.4,-0.028917001166055445,5,1.0,0.18023928779692144,5
Biotechnology,2,0.5,0.028505661485010048,2,0.5,0.005827984251853935,2,0.5,-0.04572921700923849,2,0.0,-0.02453754824640675,2,0.5,-0.09577547713927609,2,0.0,-0.1852559426997602,2
Chemicals,13,0.5384615384615384,0.014906144609285743,13,0.46153846153846156,-0.01141518396509833,13,0.5384615384615384,0.023382274462582675,13,0.6153846153846154,0.035752651598057295,13,0.8461538461538461,0.18093430910808062,13,1.0,0.34860313415525357,13
Communications,22,0.36363636363636365,-0.014641996743292807,22,0.45454545454545453,-0.011712261509254862,22,0.45454545454545453,-0.006960455756700901,22,0.45454545454545453,-0.04534499566898936,22,0.42857142857142855,-0.08873902780666865,21,0.42857142857142855,-0.18650008939342066,21
Consumer products,2,0.0,-0.04212779682526896,2,0.5,-0.02856387316829767,2,0.5,-0.012429373197403226,2,0.5,0.02964714821901998,2,0.5,0.01048708401226034,2,0.5,0.04435683649034633,2
Energy,26,0.4230769230769231,-0.010876301547225187,26,0.6538461538461539,0.024365905662984022,26,0.7307692307692307,0.06326282995947063,26,0.8461538461538461,0.08640313622664031,26,0.38461538461538464,-0.031232276098805023,26,0.8846153846153846,0.40599065964172687,26
Financial Services,68,0.36764705882352944,-0.012879118583607019,68,0.47058823529411764,-0.006739765878109705,68,0.4852941176470588,-0.004746575711452372,68,0.6029411764705882,0.03773731860015073,68,0.6764705882352942,0.11746859740205307,68,0.7205882352941176,0.2992862854853734,68
Health Care,9,0.3333333333333333,-0.012209693570118474,9,0.5555555555555556,0.005097073226545179,9,0.4444444444444444,-0.028344870538528633,9,0.4444444444444444,-0.009620527439247684,9,0.7777777777777778,0.18637698892479593,9,0.875,0.3521150257541744,8
"Hotels, Restaurants & Leisure",19,0.42105263157894735,-0.007476138622870443,19,0.3684210526315789,-0.024273748821324492,19,0.47368421052631576,-0.003361117729643981,19,0.631578947368421,0.05363264293687209,19,0.7368421052631579,0.2929775834451329,19,0.8947368421052632,0.41781995548795803,19
Industrial Conglomerates,6,0.5,0.005398453680827198,6,0.6666666666666666,0.06671359439800517,6,0.6,0.02478387796595727,5,0.4,-0.008620202225247064,5,1.0,0.14345612633508242,5,0.6,0.3548267381286079,5
Logistics & Transportation,5,1.0,0.021840885681037925,5,0.4,-0.00416671184769013,5,0.6,0.022916713110513687,5,0.6,0.05610090937125545,5,0.6,0.06093487124075825,5,0.4,-0.03589142517451438,5
Machinery,8,0.25,-0.005770523759846324,8,0.5,0.002087056055512737,8,0.5,0.012502378765322508,8,0.75,0.05438331370946625,8,0.625,0.3653253892916438,8,1.0,0.5574050587438977,7
Media,104,0.4423076923076923,-0.004514012937704703,104,0.5192307692307693,0.004076438978981023,104,0.5288461538461539,0.005945666916420622,104,0.6442307692307693,0.03378080930314209,104,0.7549019607843137,0.2149336725743558,102,0.7524752475247525,0.4648139120899666,101
Metals & Mining,41,0.43902439024390244,-0.0026205819962697996,41,0.4634146341463415,-0.005887694544612909,41,0.5609756097560976,0.014388487442403619,41,0.5609756097560976,0.04129549812430211,41,0.8048780487804879,0.48899343221655833,41,0.9024390243902439,1.1466480521105282,41
Pharmaceuticals,21,0.19047619047619047,-0.017220069315868836,21,0.47619047619047616,-0.006149912024941417,21,0.38095238095238093,-0.017385564057361025,21,0.5238095238095238,0.0041911787817194845,21,0.55,0.020227291023942717,20,0.9,0.24605914595534462,20
Real Estate,82,0.47560975609756095,-0.004025825597323562,82,0.524390243902439,0.015404455386232474,82,0.5853658536585366,0.03762981588911152,82,0.573170731707317,0.04857570865251004,82,0.6097560975609756,0.1322009128324224,82,0.7560975609756098,0.4282495408968827,82
Retail,89,0.4606741573033708,-0.005208379710167632,89,0.47191011235955055,-0.009397900032811934,89,0.4606741573033708,-0.0183374486737079,89,0.4943820224719101,-0.011261260874249501,89,0.449438202247191,-0.07733230341828023,89,0.6179775280898876,0.15078180755192183,89
Semiconductors,109,0.42201834862385323,-0.009096052387152609,109,0.5137614678899083,0.007308481647634757,109,0.5370370370370371,0.02107424897435184,108,0.6728971962616822,0.06774726671553921,107,0.6767676767676768,0.24576444637083616,99,0.7422680412371134,0.3728685023418745,97
Technology,139,0.39568345323741005,-0.012243743817630381,139,0.4172661870503597,-0.010526002439384508,139,0.4748201438848921,-0.007727955677973464,139,0.5362318840579711,0.009504240057869318,138,0.6204379562043796,0.10046862247003485,137,0.5735294117647058,0.12060751945874615,136
Telecommunication,11,0.36363636363636365,-0.018303672305260754,11,0.2727272727272727,-0.03548629407966264,11,0.2727272727272727,-0.05823680398762465,11,0.18181818181818182,-0.01961749400758095,11,0.36363636363636365,-0.013636038666445471,11,0.5454545454545454,0.022471758264580588,11
"Textiles, Apparel & Luxury Goods",15,0.4,-0.004245679124719737,15,0.5333333333333333,0.008826637892900502,15,0.5333333333333333,0.002915158771204629,15,0.6666666666666666,0.01583356684476933,15,0.6666666666666666,0.06734571508474585,15,0.7857142857142857,0.14826401663782018,14
Utilities,15,0.4666666666666667,-0.00020678298882170765,15,0.4666666666666667,-0.010576368047367946,15,0.5333333333333333,0.0010743845822658304,15,0.7333333333333333,0.05041430321946416,15,0.6,0.10277047591999766,15,0.8,0.11396730068113681,15
