leverage,margin_call_threshold,survived_full_period,first_blowup_day,final_nav_multiple,min_nav_after_start
1.0,0.2,True,-1,258.2014062499986,0.5486999893188481
1.0,0.3,True,-1,258.2014062499986,0.5486999893188481
1.0,0.5,True,-1,258.2014062499986,0.5486999893188481
1.5,0.2,True,-1,1776.799303542588,0.3978847999205839
1.5,0.3,True,-1,1776.799303542588,0.3978847999205839
1.5,0.5,False,894,0.0,0.5134549805986058
2.0,0.2,True,-1,6911.0632492806,0.28441774668394115
2.0,0.3,False,920,0.0,0.30399046549169795
2.0,0.5,False,861,0.0,0.5181505822821512
3.0,0.2,False,899,0.0,0.20809479009669712
3.0,0.3,False,863,0.0,0.3071373750980193
3.0,0.5,False,827,0.0,0.5090714775337787
5.0,0.2,False,852,0.0,0.20183010009152436
5.0,0.3,False,822,0.0,0.3092224035111164
5.0,0.5,False,712,0.0,0.5091278694721211
