factor,lag_months,SPY,QQQ,XLF,XLE,XLK,XLU
FFR_change,0,0.111,0.054,0.168,0.127,0.06,0.125
FFR_change,1,0.019,0.012,0.08,-0.058,0.024,0.015
FFR_change,2,0.073,0.014,0.135,0.08,0.035,0.054
FFR_change,3,0.11,0.046,0.192,0.082,0.059,0.09
FFR_change,4,0.107,0.073,0.103,0.117,0.079,0.119
FFR_change,5,0.042,0.015,-0.016,0.114,0.023,0.12
FFR_change,6,0.066,0.038,0.051,0.071,0.051,0.062
FFR_change,7,0.118,0.131,0.052,0.09,0.126,0.117
FFR_change,8,0.064,0.026,0.053,0.037,0.04,0.112
FFR_change,9,0.082,0.041,0.101,0.058,0.061,0.089
FFR_change,10,0.097,0.064,0.067,0.056,0.076,0.119
FFR_change,11,0.078,0.054,0.078,0.023,0.068,0.094
FFR_change,12,0.084,0.075,0.081,0.014,0.075,0.092
CPI_YOY_change,0,0.083,0.09,0.082,0.12,0.087,0.051
CPI_YOY_change,1,-0.05,-0.035,-0.03,-0.092,-0.019,-0.011
CPI_YOY_change,2,-0.006,-0.066,0.08,-0.031,-0.039,0.029
CPI_YOY_change,3,-0.036,-0.081,0.021,0.039,-0.086,0.023
CPI_YOY_change,4,-0.079,-0.091,-0.084,0.005,-0.09,0.028
CPI_YOY_change,5,-0.052,-0.044,-0.119,0.062,-0.053,0.055
CPI_YOY_change,6,-0.08,-0.003,-0.12,-0.02,-0.008,-0.011
CPI_YOY_change,7,-0.071,-0.018,-0.112,-0.013,-0.008,-0.014
CPI_YOY_change,8,-0.133,-0.132,-0.144,-0.077,-0.104,-0.006
CPI_YOY_change,9,-0.049,-0.067,-0.061,0.041,-0.062,0.075
CPI_YOY_change,10,0.049,0.033,0.047,0.058,0.038,0.092
CPI_YOY_change,11,-0.032,-0.016,0.009,-0.006,-0.01,-0.071
CPI_YOY_change,12,-0.107,-0.107,-0.082,-0.043,-0.09,-0.125
UNEMP_change,0,0.081,0.072,0.013,0.185,0.063,-0.006
UNEMP_change,1,0.025,0.022,0.001,0.024,0.026,0.009
UNEMP_change,2,-0.024,0.013,-0.034,-0.033,0.019,-0.089
UNEMP_change,3,0.042,0.05,-0.006,-0.057,0.034,0.076
UNEMP_change,4,0.063,0.073,0.025,-0.042,0.075,-0.058
UNEMP_change,5,-0.054,-0.044,-0.057,-0.167,-0.04,-0.024
UNEMP_change,6,-0.066,-0.05,-0.062,-0.11,-0.064,0.057
UNEMP_change,7,0.104,0.078,0.125,0.154,0.071,-0.024
UNEMP_change,8,0.006,0.014,0.007,-0.02,0.02,-0.015
UNEMP_change,9,-0.02,0.009,-0.027,-0.002,-0.008,-0.035
UNEMP_change,10,-0.012,-0.034,0.077,0.128,-0.021,-0.12
UNEMP_change,11,0.058,0.027,0.052,0.047,0.021,0.116
UNEMP_change,12,0.045,0.027,0.052,-0.032,0.018,0.046
NFP_YOY_change,0,-0.018,-0.019,0.024,-0.137,-0.018,0.04
NFP_YOY_change,1,-0.024,-0.035,0.026,0.011,-0.041,-0.048
NFP_YOY_change,2,0.013,0.008,-0.013,0.036,0.009,0.015
NFP_YOY_change,3,-0.012,-0.009,-0.023,-0.028,0.002,-0.003
NFP_YOY_change,4,-0.053,-0.051,-0.009,-0.028,-0.064,0.059
NFP_YOY_change,5,0.015,0.02,0.04,0.16,0.006,-0.035
NFP_YOY_change,6,0.098,0.08,0.072,0.114,0.086,-0.003
NFP_YOY_change,7,-0.072,-0.021,-0.128,-0.161,-0.01,-0.017
NFP_YOY_change,8,0.032,-0.004,0.003,0.002,0.005,0.096
NFP_YOY_change,9,-0.018,-0.044,0.036,0.091,-0.024,-0.011
NFP_YOY_change,10,-0.014,-0.002,-0.042,-0.048,-0.012,0.058
NFP_YOY_change,11,0.015,0.032,-0.022,0.041,0.016,0.025
NFP_YOY_change,12,-0.099,-0.099,-0.094,0.011,-0.073,-0.066
TNX_change,0,0.101,0.102,0.16,0.217,0.09,-0.075
TNX_change,1,0.05,0.032,0.089,0.05,0.025,0.06
TNX_change,2,0.01,-0.046,0.089,-0.018,-0.05,0.08
TNX_change,3,-0.0,-0.027,0.07,-0.009,-0.04,-0.02
TNX_change,4,-0.1,-0.118,-0.108,-0.023,-0.101,-0.025
TNX_change,5,-0.016,0.002,-0.096,-0.033,0.026,0.022
TNX_change,6,0.046,0.055,0.017,0.035,0.054,0.045
TNX_change,7,-0.004,0.012,-0.001,0.006,0.005,-0.019
TNX_change,8,-0.043,0.023,-0.126,-0.045,0.037,-0.07
TNX_change,9,0.032,-0.012,0.012,0.062,-0.023,0.064
TNX_change,10,0.061,0.017,0.088,0.048,0.025,0.108
TNX_change,11,0.01,0.03,0.012,0.038,0.033,0.021
TNX_change,12,-0.033,-0.067,0.027,0.009,-0.056,-0.014
