leverage,margin_call,leveraged_loss_at_worst_mdd_pct,blowup
1.0,0.1,82.96,False
1.0,0.2,82.96,True
1.0,0.3,82.96,True
1.0,0.5,82.96,True
1.25,0.1,103.7,True
1.25,0.2,103.7,True
1.25,0.3,103.7,True
1.25,0.5,103.7,True
1.5,0.1,124.45,True
1.5,0.2,124.45,True
1.5,0.3,124.45,True
1.5,0.5,124.45,True
2.0,0.1,165.93,True
2.0,0.2,165.93,True
2.0,0.3,165.93,True
2.0,0.5,165.93,True
2.5,0.1,207.41,True
2.5,0.2,207.41,True
2.5,0.3,207.41,True
2.5,0.5,207.41,True
3.0,0.1,248.89,True
3.0,0.2,248.89,True
3.0,0.3,248.89,True
3.0,0.5,248.89,True
4.0,0.1,331.86,True
4.0,0.2,331.86,True
4.0,0.3,331.86,True
4.0,0.5,331.86,True
5.0,0.1,414.82,True
5.0,0.2,414.82,True
5.0,0.3,414.82,True
5.0,0.5,414.82,True
